Year;Country;EPU
2000;Australia;72.27
2002;Australia;84.19
2004;Australia;57.49
2006;Australia;46.39
2008;Australia;152.11
2010;Australia;148.77
2012;Australia;166.51
2014;Australia;76.87
2016;Australia;130.62
2018;Australia;80.76
2000;Brazil;91.1
2002;Brazil;123.669850516415
2004;Brazil;115.885794428544
2006;Brazil;96.7511026067022
2008;Brazil;174.038622832271
2010;Brazil;92.7765529395893
2012;Brazil;117.53019059805
2014;Brazil;148.634723283947
2016;Brazil;308.932367017937
2018;Brazil;203.420393326556
2000;Canada;53.37
2002;Canada;106.340471
2004;Canada;68.0016923
2006;Canada;62.5535222
2008;Canada;155.200769
2010;Canada;148.513099
2012;Canada;225.379194
2014;Canada;151.811471
2016;Canada;232.739768
2018;Canada;280.046441
2000;Chile;120.19
2002;Chile;140.885942
2004;Chile;76.456412
2006;Chile;70.7299341
2008;Chile;103.538989
2010;Chile;71.2110647
2012;Chile;99.4403642
2014;Chile;154.164598
2016;Chile;140.44934
2018;Chile;289.940454
2000;China;49.5395547092811
2002;China;104.973758241446
2004;China;70.8695240242921
2006;China;70.5930949231914
2008;China;147.939910512502
2010;China;117.117434473093
2012;China;189.705826829665
2014;China;117.658521702218
2016;China;245.72096060797
2018;China;415.142333819485
2000;Colombia;122.217676
2002;Colombia;113.539012
2004;Colombia;67.7765789
2006;Colombia;84.2046494
2008;Colombia;103.35948
2010;Colombia;84.8679522
2012;Colombia;87.5950264
2014;Colombia;90.2831669
2016;Colombia;147.658581
2018;Colombia;127.055176
2000;France;37.6033429
2002;France;118.192662
2004;France;126.98518
2006;France;74.5871891
2008;France;160.416954
2010;France;207.436671
2012;France;279.151017
2014;France;191.267494
2016;France;309.569315
2018;France;244.644357
2000;Germany;84.7117386
2002;Germany;103.151145
2004;Germany;84.9603814
2006;Germany;81.3485511
2008;Germany;134.752278
2010;Germany;140.186423
2012;Germany;177.682106
2014;Germany;125.194542
2016;Germany;231.436769
2018;Germany;274.590046
2000;Greece;72.9683237
2002;Greece;105.809242
2004;Greece;98.9123246
2006;Greece;71.1943498
2008;Greece;102.830023
2010;Greece;118.475448
2012;Greece;123.760616
2014;Greece;101.210326
2016;Greece;118.269944
2018;Greece;63.0988865
2000;India;71.5572401
2002;India;98.7176862
2004;India;74.740558
2006;India;49.4825745
2008;India;141.776825
2010;India;108.775002
2012;India;185.464615
2014;India;96.6791923
2016;India;73.975314
2018;India;59.5869736
2000;Ireland;59.3790945
2002;Ireland;100.321274
2004;Ireland;69.3968437
2006;Ireland;74.9650318
2008;Ireland;127.596712
2010;Ireland;148.551768
2012;Ireland;150.283473
2014;Ireland;116.930132
2016;Ireland;193.724212
2018;Ireland;220.46085
2000;Italy;84.0517151
2002;Italy;135.215857
2004;Italy;106.137169
2006;Italy;69.3355965
2008;Italy;85.5314431
2010;Italy;122.046807
2012;Italy;137.047908
2014;Italy;116.820401
2016;Italy;129.314149
2018;Italy;114.833039
2000;Japan;91.59741274
2002;Japan;109.747443645
2004;Japan;71.8767977416667
2006;Japan;64.858207605
2008;Japan;129.536205714167
2010;Japan;127.002406384167
2012;Japan;126.950467875833
2014;Japan;97.0140380091667
2016;Japan;145.620705795
2018;Japan;96.1454515091667
2000;Rep. Of Korea;91.8388640085856
2002;Rep. Of Korea;109.40061155955
2004;Rep. Of Korea;131.554228464762
2006;Rep. Of Korea;90.7407430013021
2008;Rep. Of Korea;140.70764096578
2010;Rep. Of Korea;148.724538167318
2012;Rep. Of Korea;163.274972279867
2014;Rep. Of Korea;81.8815139134725
2016;Rep. Of Korea;188.809489969705
2018;Rep. Of Korea;169.682616258964
2000;Netherlands;82.4321564675
2002;Netherlands;108.336041340833
2004;Netherlands;69.0453831127482
2006;Netherlands;60.4611226211198
2008;Netherlands;101.97160325972
2010;Netherlands;124.125372987385
2012;Netherlands;133.238869525258
2014;Netherlands;95.0573816334377
2016;Netherlands;82.8978687398586
2018;Netherlands;96.7611325671495
2000;Russia;58.039114
2002;Russia;61.0094481
2004;Russia;81.7027572
2006;Russia;101.229645
2008;Russia;121.612353
2010;Russia;111.619507
2012;Russia;145.520762
2014;Russia;232.69863
2016;Russia;183.741437
2018;Russia;337.174283
2000;Spain;70.9250679
2002;Spain;85.3679975
2004;Spain;82.5826238
2006;Spain;77.3562024
2008;Spain;100.208364
2010;Spain;119.054451
2012;Spain;178.043355
2014;Spain;124.695105
2016;Spain;119.88857
2018;Spain;145.473396
2000;United Kingdom;47.8443941
2002;United Kingdom;92.9190127
2004;United Kingdom;82.0771797
2006;United Kingdom;74.2159616
2008;United Kingdom;154.917786
2010;United Kingdom;231.870617
2012;United Kingdom;305.430212
2014;United Kingdom;181.586883
2016;United Kingdom;542.765562
2018;United Kingdom;185.66503
2000;USA;96.5534565
2002;USA;128.646793
2004;USA;90.6004568
2006;USA;67.1362866
2008;USA;139.382629
2010;USA;147.645634
2012;USA;157.976926
2014;USA;92.4671566
2016;USA;145.128244
2018;USA;185.684646
2000;Sweden;76.2097501
2002;Sweden;87.8615895
2004;Sweden;75.352308
2006;Sweden;79.2608424
2008;Sweden;94.1413005
2010;Sweden;89.1262534
2012;Sweden;98.3893539
2014;Sweden;107.317716
2016;Sweden;107.980808
2018;Sweden;100.27136
2000;Mexico;128.894065714498
2002;Mexico;160.086323788369
2004;Mexico;93.7979653656304
2006;Mexico;61.6043897603833
2008;Mexico;81.3923693366836
2010;Mexico;70.2674352905322
2012;Mexico;53.9771951137832
2014;Mexico;27.0009143173997
2016;Mexico;49.6878921449178
2018;Mexico;74.1860529276322